canonicalId,name,description,module,path
"bmad-shard-doc","bmad-shard-doc","Splits large markdown documents into smaller, organized files based on level 2 (default) sections. Use if the user says perform shard document","core","_bmad/core/bmad-shard-doc/SKILL.md"
"bmad-spec","bmad-spec","Distill any intent input into the SPEC kernel + companions — the canonical, preservation-validated machine contract for downstream work. Use when the user says ""create a spec"", ""distill this into a spec"", ""validate this spec"", or ""update the spec"".","core","_bmad/core/bmad-spec/SKILL.md"
"bmad-agent-analyst","bmad-agent-analyst","Strategic business analyst and requirements expert. Use when the user asks to talk to Mary or requests the business analyst.","bmm","_bmad/bmm/1-analysis/bmad-agent-analyst/SKILL.md"
"bmad-agent-tech-writer","bmad-agent-tech-writer","Technical documentation specialist and knowledge curator. Use when the user asks to talk to Paige or requests the tech writer.","bmm","_bmad/bmm/1-analysis/bmad-agent-tech-writer/SKILL.md"
"bmad-document-project","bmad-document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","bmm","_bmad/bmm/1-analysis/bmad-document-project/SKILL.md"
"bmad-prfaq","bmad-prfaq","Working Backwards PRFAQ challenge to forge product concepts. Use when the user requests to 'create a PRFAQ', 'work backwards', or 'run the PRFAQ challenge'.","bmm","_bmad/bmm/1-analysis/bmad-prfaq/SKILL.md"
"bmad-product-brief","bmad-product-brief","Create, update, or validate a product brief. Use when the user wants help producing, editing, or validating a brief.","bmm","_bmad/bmm/1-analysis/bmad-product-brief/SKILL.md"
"bmad-domain-research","bmad-domain-research","Conduct domain and industry research. Use when the user says wants to do domain research for a topic or industry","bmm","_bmad/bmm/1-analysis/research/bmad-domain-research/SKILL.md"
"bmad-market-research","bmad-market-research","Conduct market research on competition and customers. Use when the user says they need market research","bmm","_bmad/bmm/1-analysis/research/bmad-market-research/SKILL.md"
"bmad-technical-research","bmad-technical-research","Conduct technical research on technologies and architecture. Use when the user says they would like to do or produce a technical research report","bmm","_bmad/bmm/1-analysis/research/bmad-technical-research/SKILL.md"
"bmad-agent-pm","bmad-agent-pm","Product manager for PRD creation and requirements discovery. Use when the user asks to talk to John or requests the product manager.","bmm","_bmad/bmm/2-plan-workflows/bmad-agent-pm/SKILL.md"
"bmad-agent-ux-designer","bmad-agent-ux-designer","UX designer and UI specialist. Use when the user asks to talk to Sally or requests the UX designer.","bmm","_bmad/bmm/2-plan-workflows/bmad-agent-ux-designer/SKILL.md"
"bmad-create-prd","bmad-create-prd","DEPRECATED — consolidated into bmad-prd create intent - this skill will be removed in v7 in favor of `bmad-prd`.","bmm","_bmad/bmm/2-plan-workflows/bmad-create-prd/SKILL.md"
"bmad-edit-prd","bmad-edit-prd","DEPRECATED — consolidated into bmad-prd update intent - this skill will be removed in v7 in favor of `bmad-prd`.","bmm","_bmad/bmm/2-plan-workflows/bmad-edit-prd/SKILL.md"
"bmad-prd","bmad-prd","Create, update, or validate a PRD. Use when the user wants help producing, editing, or validating a PRD.","bmm","_bmad/bmm/2-plan-workflows/bmad-prd/SKILL.md"
"bmad-ux","bmad-ux","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_bmad/bmm/2-plan-workflows/bmad-ux/SKILL.md"
"bmad-validate-prd","bmad-validate-prd","DEPRECATED — consolidated into bmad-prd validate intent - this skill will be removed in v7 in favor of `bmad-prd`.","bmm","_bmad/bmm/2-plan-workflows/bmad-validate-prd/SKILL.md"
"bmad-agent-architect","bmad-agent-architect","System architect and technical design leader. Use when the user asks to talk to Winston or requests the architect.","bmm","_bmad/bmm/3-solutioning/bmad-agent-architect/SKILL.md"
"bmad-check-implementation-readiness","bmad-check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_bmad/bmm/3-solutioning/bmad-check-implementation-readiness/SKILL.md"
"bmad-create-architecture","bmad-create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_bmad/bmm/3-solutioning/bmad-create-architecture/SKILL.md"
"bmad-create-epics-and-stories","bmad-create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_bmad/bmm/3-solutioning/bmad-create-epics-and-stories/SKILL.md"
"bmad-generate-project-context","bmad-generate-project-context","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","bmm","_bmad/bmm/3-solutioning/bmad-generate-project-context/SKILL.md"
"bmad-agent-dev","bmad-agent-dev","Senior software engineer for story execution and code implementation. Use when the user asks to talk to Amelia or requests the developer agent.","bmm","_bmad/bmm/4-implementation/bmad-agent-dev/SKILL.md"
"bmad-checkpoint-preview","bmad-checkpoint-preview","LLM-assisted human-in-the-loop review. Make sense of a change, focus attention where it matters, test. Use when the user says ""checkpoint"", ""human review"", or ""walk me through this change"".","bmm","_bmad/bmm/4-implementation/bmad-checkpoint-preview/SKILL.md"
"bmad-code-review","bmad-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","bmm","_bmad/bmm/4-implementation/bmad-code-review/SKILL.md"
"bmad-correct-course","bmad-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_bmad/bmm/4-implementation/bmad-correct-course/SKILL.md"
"bmad-create-story","bmad-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","bmm","_bmad/bmm/4-implementation/bmad-create-story/SKILL.md"
"bmad-dev-story","bmad-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","bmm","_bmad/bmm/4-implementation/bmad-dev-story/SKILL.md"
"bmad-investigate","bmad-investigate","Forensic case investigation with evidence-graded findings, calibrated to the input. Use when the user asks to investigate a bug, trace what caused an incident, walk through unfamiliar code, or build a mental model of a code area before working on it.","bmm","_bmad/bmm/4-implementation/bmad-investigate/SKILL.md"
"bmad-qa-generate-e2e-tests","bmad-qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","bmm","_bmad/bmm/4-implementation/bmad-qa-generate-e2e-tests/SKILL.md"
"bmad-quick-dev","bmad-quick-dev","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","bmm","_bmad/bmm/4-implementation/bmad-quick-dev/SKILL.md"
"bmad-retrospective","bmad-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","bmm","_bmad/bmm/4-implementation/bmad-retrospective/SKILL.md"
"bmad-sprint-planning","bmad-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","bmm","_bmad/bmm/4-implementation/bmad-sprint-planning/SKILL.md"
"bmad-sprint-status","bmad-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","bmm","_bmad/bmm/4-implementation/bmad-sprint-status/SKILL.md"
"bmad-agent-builder","bmad-agent-builder","Builds, edits or analyzes Agent Skills through conversational discovery. Use when the user requests to ""Create an Agent"", ""Analyze an Agent"" or ""Edit an Agent"".","bmb","_bmad/bmb/bmad-agent-builder/SKILL.md"
"bmad-bmb-setup","bmad-bmb-setup","Sets up BMad Builder module in a project. Use when the user requests to 'install bmb module', 'configure BMad Builder', or 'setup BMad Builder'.","bmb","_bmad/bmb/bmad-bmb-setup/SKILL.md"
"bmad-eval-runner","bmad-eval-runner","Run a skill's evals in a clean, isolated environment and report results. Use when the user wants to evaluate a skill, run evals, benchmark a skill, validate triggers, or grade skill outputs.","bmb","_bmad/bmb/bmad-eval-runner/SKILL.md"
"bmad-module-builder","bmad-module-builder","Plans, creates, and validates BMad modules. Use when the user requests to 'ideate module', 'plan a module', 'create module', 'build a module', or 'validate module'.","bmb","_bmad/bmb/bmad-module-builder/SKILL.md"
"bmad-workflow-builder","bmad-workflow-builder","Builds, edits, and analyzes workflows and skills. Use when the user requests to ""build a workflow"", ""modify a workflow"", ""quality check workflow"", or ""analyze skill"".","bmb","_bmad/bmb/bmad-workflow-builder/SKILL.md"
"gds-agent-game-architect","gds-agent-game-architect","Game systems architect for technical architecture, engine design, and infrastructure. Use when the user asks to talk to Cloud Dragonborn or requests the Game Architect.","gds","_bmad/gds/agents/gds-agent-game-architect/SKILL.md"
"gds-agent-game-designer","gds-agent-game-designer","Game designer for creative vision, GDD creation, and narrative design. Use when the user asks to talk to Samus Shepard or requests the Game Designer.","gds","_bmad/gds/agents/gds-agent-game-designer/SKILL.md"
"gds-agent-game-dev","gds-agent-game-dev","Consolidated game developer for story execution, code implementation, code review, QA/test authorship, and sprint orchestration. Use when the user asks to talk to Link Freeman, the Game Developer, the Game QA, or the Game Scrum Master.","gds","_bmad/gds/agents/gds-agent-game-dev/SKILL.md"
"gds-agent-game-solo-dev","gds-agent-game-solo-dev","Elite indie game developer for rapid prototyping and solo quick-flow development. Use when the user asks to talk to Indie or requests the Game Solo Dev.","gds","_bmad/gds/agents/gds-agent-game-solo-dev/SKILL.md"
"gds-agent-tech-writer","gds-agent-tech-writer","Technical documentation specialist and knowledge curator for game projects. Use when the user asks to talk to Paige or requests the Technical Writer.","gds","_bmad/gds/agents/gds-agent-tech-writer/SKILL.md"
"gds-brainstorm-game","gds-brainstorm-game","Facilitate game brainstorming sessions with game-specific techniques. Use when the user says ""brainstorm game"" or ""game ideas""","gds","_bmad/gds/workflows/1-preproduction/gds-brainstorm-game/SKILL.md"
"gds-create-game-brief","gds-create-game-brief","Create, update, or validate a game brief. Use when the user wants help producing, editing, or validating a game brief before detailed design.","gds","_bmad/gds/workflows/1-preproduction/gds-create-game-brief/SKILL.md"
"gds-domain-research","gds-domain-research","Conduct game domain and industry research. Use when the user says ""lets create a research report on [game domain or industry]""","gds","_bmad/gds/workflows/1-preproduction/research/gds-domain-research/SKILL.md"
"gds-create-narrative","gds-create-narrative","Create comprehensive narrative documentation with story structure and world-building. Use when the user says ""narrative design"" or ""create narrative""","gds","_bmad/gds/workflows/2-design/gds-create-narrative/SKILL.md"
"gds-gdd","gds-gdd","Create, update, or validate a game's Game Design Document. Use when the user wants help producing, editing, or validating a GDD — the primary design artifact covering pillars, mechanics, progression, levels, art, audio, and development epics.","gds","_bmad/gds/workflows/2-design/gds-gdd/SKILL.md"
"gds-prd","gds-prd","Create, update, validate, or analyze a game project's PRD. Use when the user wants help producing, editing, validating, or analyzing a PRD — often derived from a GDD or prepared for external-tool integration.","gds","_bmad/gds/workflows/2-design/gds-prd/SKILL.md"
"gds-ux","gds-ux","Plan game UX, UI, and HUD design specifications. Use when the user says ""lets create game UX"", ""design the HUD"", ""create UI specifications"", or ""help me plan the game UX""","gds","_bmad/gds/workflows/2-design/gds-ux/SKILL.md"
"gds-check-implementation-readiness","gds-check-implementation-readiness","Verify GDD, UX, Architecture, and Epics alignment before production. Use when the user says ""check readiness"" or ""implementation readiness""","gds","_bmad/gds/workflows/3-technical/gds-check-implementation-readiness/SKILL.md"
"gds-create-epics-and-stories","gds-create-epics-and-stories","Create Epics and Stories from GDD requirements for development. Use when the user says ""create epics"" or ""create stories""","gds","_bmad/gds/workflows/3-technical/gds-create-epics-and-stories/SKILL.md"
"gds-game-architecture","gds-game-architecture","Design scale-adaptive game architecture with engine systems and networking. Use when the user says ""game architecture"" or ""design architecture""","gds","_bmad/gds/workflows/3-technical/gds-game-architecture/SKILL.md"
"gds-generate-project-context","gds-generate-project-context","Create optimized project-context.md for AI agent consistency. Use when the user says ""project context"" or ""generate context""","gds","_bmad/gds/workflows/3-technical/gds-generate-project-context/SKILL.md"
"gds-code-review","gds-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","gds","_bmad/gds/workflows/4-production/gds-code-review/SKILL.md"
"gds-correct-course","gds-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","gds","_bmad/gds/workflows/4-production/gds-correct-course/SKILL.md"
"gds-create-story","gds-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","gds","_bmad/gds/workflows/4-production/gds-create-story/SKILL.md"
"gds-dev-story","gds-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","gds","_bmad/gds/workflows/4-production/gds-dev-story/SKILL.md"
"gds-investigate","gds-investigate","Forensic case investigation with evidence-graded findings, calibrated to the input. Use when the user asks to investigate a bug, trace what caused an incident, walk through unfamiliar code, or build a mental model of a code area before working on it.","gds","_bmad/gds/workflows/4-production/gds-investigate/SKILL.md"
"gds-retrospective","gds-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","gds","_bmad/gds/workflows/4-production/gds-retrospective/SKILL.md"
"gds-sprint-planning","gds-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","gds","_bmad/gds/workflows/4-production/gds-sprint-planning/SKILL.md"
"gds-sprint-status","gds-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","gds","_bmad/gds/workflows/4-production/gds-sprint-status/SKILL.md"
"gds-e2e-scaffold","gds-e2e-scaffold","Scaffold end-to-end testing infrastructure. Use when the user says ""e2e scaffold"" or ""set up e2e testing""","gds","_bmad/gds/workflows/gametest/gds-e2e-scaffold/SKILL.md"
"gds-performance-test","gds-performance-test","Design game performance testing strategy. Use when the user says ""performance test"" or ""benchmark""","gds","_bmad/gds/workflows/gametest/gds-performance-test/SKILL.md"
"gds-playtest-plan","gds-playtest-plan","Create structured playtesting plans for user feedback. Use when the user says ""playtest plan"" or ""playtesting""","gds","_bmad/gds/workflows/gametest/gds-playtest-plan/SKILL.md"
"gds-test-automate","gds-test-automate","Generate automated game tests for gameplay systems. Use when the user says ""automate tests"" or ""generate tests""","gds","_bmad/gds/workflows/gametest/gds-test-automate/SKILL.md"
"gds-test-design","gds-test-design","Create comprehensive game test scenarios. Use when the user says ""test design"" or ""design tests""","gds","_bmad/gds/workflows/gametest/gds-test-design/SKILL.md"
"gds-test-framework","gds-test-framework","Initialize game test framework for Unity, Unreal, or Godot. Use when the user says ""test framework"" or ""set up testing""","gds","_bmad/gds/workflows/gametest/gds-test-framework/SKILL.md"
"gds-test-review","gds-test-review","Review test quality and coverage. Use when the user says ""test review"" or ""review tests""","gds","_bmad/gds/workflows/gametest/gds-test-review/SKILL.md"
"gds-document-project","gds-document-project","Analyze existing game projects to produce useful documentation. Use when the user says ""document project"" or ""generate docs""","gds","_bmad/gds/workflows/gds-document-project/SKILL.md"
"gds-quick-dev","gds-quick-dev","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-dev/SKILL.md"
